name,season,competition,nation,position,team,age,year_born,matches,starts,minutes,full_games,goals,assists,G+A,non-PK_goals,PK_goals,PK_att,yellow_cards,red_cards,xG,xG_nonpenalty,xGnp+xGA,xGA,progressive_carries,progressive_passes
Tommy Doyle,24/25,Premier League,ENG,MF,Wolves,22,2001,24,3,488,5.4,0,1,1,0,0,0,1,0,0.6,0.6,1.1,0.5,6,40
Radu Drăgușin,24/25,Premier League,ROU,DF,Tottenham,22,2002,16,14,"1,252",13.9,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.4,7,37
Martin Dúbravka,24/25,Premier League,SVK,GK,Newcastle Utd,35,1989,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Lewis Dunk,24/25,Premier League,ENG,DF,Brighton,32,1991,25,23,"2,083",23.1,0,0,0,0,0,0,5,0,0.8,0.8,1.3,0.5,20,142
Jáder Durán,24/25,Premier League,COL,FW,Aston Villa,20,2003,20,4,638,7.1,7,0,7,7,0,0,3,1,4.9,4.9,5.1,0.2,7,13
Claudio Echeverri,24/25,Premier League,ARG,FW,Manchester City,18,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1
Ederson,24/25,Premier League,BRA,GK,Manchester City,30,1993,26,26,"2,320",25.8,0,4,4,0,0,0,4,0,0.0,0.0,1.5,1.5,0,2
George Edmundson,24/25,Premier League,ENG,DF,Ipswich Town,26,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Odsonne Édouard,24/25,Premier League,FRA,"MF,FW",Crystal Palace,26,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.0,3,4
Odsonne Édouard,24/25,Premier League,FRA,FW,Leicester City,26,1998,4,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1
Samuel Edozie,24/25,Premier League,ENG,"DF,FW",Southampton,21,2003,2,0,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,4
Ronnie Edwards,24/25,Premier League,ENG,DF,Southampton,21,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Anthony Elanga,24/25,Premier League,SWE,"FW,MF",Nott'ham Forest,22,2002,38,31,"2,501",27.8,6,11,17,6,0,0,1,0,4.5,4.5,10.1,5.7,102,63
Harvey Elliott,24/25,Premier League,ENG,MF,Liverpool,21,2003,18,2,371,4.1,1,2,3,1,0,0,1,0,1.8,1.8,2.8,1.1,10,44
Yunus Emre Konak,24/25,Premier League,TUR,"FW,MF",Brentford,18,2006,10,0,42,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.0,1,2
Julio Enciso,24/25,Premier League,PAR,"MF,FW",Ipswich Town,20,2004,13,12,869,9.7,2,3,5,2,0,0,3,0,1.7,1.7,3.1,1.4,23,28
Julio Enciso,24/25,Premier League,PAR,"MF,FW",Brighton,20,2004,12,2,294,3.3,0,0,0,0,0,0,0,0,1.0,1.0,1.2,0.2,11,14
Wataru Endo,24/25,Premier League,JPN,"MF,DF",Liverpool,31,1993,20,1,273,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,19
Christian Eriksen,24/25,Premier League,DEN,MF,Manchester Utd,32,1992,23,11,"1,061",11.8,1,2,3,0,1,1,4,0,1.4,0.6,3.8,3.2,13,55
Romain Esse,24/25,Premier League,ENG,MF,Crystal Palace,19,2005,7,1,138,1.5,1,1,2,1,0,0,0,0,0.3,0.3,0.7,0.4,1,7
Pervis Estupiñán,24/25,Premier League,ECU,DF,Brighton,26,1998,30,26,"2,402",26.7,1,1,2,1,0,0,5,0,1.2,1.2,3.3,2.1,59,132
Evanilson,24/25,Premier League,BRA,FW,Bournemouth,24,1999,31,28,"2,319",25.8,10,1,11,10,0,1,1,1,12.5,11.7,13.6,1.9,29,28
Jake Evans,24/25,Premier League,,FW,Leicester City,,,4,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Jonny Evans,24/25,Premier League,NIR,DF,Manchester Utd,36,1988,7,3,315,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.0,3,10
Eberechi Eze,24/25,Premier League,ENG,"MF,FW",Crystal Palace,26,1998,34,31,"2,588",28.8,8,8,16,7,1,2,1,0,10.5,8.9,15.1,6.2,69,97
Łukasz Fabiański,24/25,Premier League,POL,GK,West Ham,39,1985,14,13,"1,160",12.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0
Wout Faes,24/25,Premier League,BEL,DF,Leicester City,26,1998,34,30,"2,815",31.3,1,0,1,1,0,0,4,0,1.5,1.5,1.6,0.1,12,86
Abdul Fatawu Issahaku,24/25,Premier League,GHA,FW,Leicester City,20,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,2.0,1.6,42,17
João Félix,24/25,Premier League,POR,"FW,MF",Chelsea,24,1999,12,3,369,4.1,1,1,2,1,0,0,2,0,2.2,2.2,3.2,1.0,21,26
Evan Ferguson,24/25,Premier League,IRL,FW,West Ham,19,2004,8,1,156,1.7,0,0,0,0,0,0,0,0,0.6,0.6,0.9,0.3,1,1
Evan Ferguson,24/25,Premier League,IRL,FW,Brighton,19,2004,13,2,246,2.7,1,0,1,1,0,0,0,0,0.5,0.5,1.0,0.4,2,1
Bruno Fernandes,24/25,Premier League,POR,MF,Manchester Utd,29,1994,36,35,"3,018",33.5,8,10,18,5,3,3,5,2,9.9,7.6,16.1,8.5,77,325
Mateus Fernandes,24/25,Premier League,POR,MF,Southampton,20,2004,36,34,"2,909",32.3,2,4,6,2,0,0,8,0,4.0,4.0,7.0,3.0,76,145
Enzo Fernández,24/25,Premier League,ARG,MF,Chelsea,23,2001,36,32,"2,947",32.7,6,7,13,6,0,0,8,0,6.1,6.1,12.9,6.8,60,212
Mark Flekken,24/25,Premier League,NED,GK,Brentford,31,1993,37,37,"3,275",36.4,0,2,2,0,0,0,1,0,0.0,0.0,0.5,0.5,0,0
Phil Foden,24/25,Premier League,ENG,"MF,FW",Manchester City,24,2000,28,20,"1,777",19.7,7,2,9,7,0,0,2,0,5.2,5.2,9.9,4.8,50,103
Wesley Fofana,24/25,Premier League,FRA,DF,Chelsea,23,2000,14,14,"1,172",13.0,0,0,0,0,0,0,7,0,0.4,0.4,0.8,0.4,19,32
Carlos Forbs,24/25,Premier League,POR,"MF,FW",Wolves,20,2004,10,1,239,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.0,10,8
